"stroke_name","DISTANCE","swim_order","count","ave_change","ave_cumulative_change"
"Back",25,2,162,-2.54296296296296,-2.54296296296296
"Back",25,3,133,-0.961578947368421,-3.35571428571429
"Back",25,4,113,-0.77070796460177,-4.26716814159292
"Back",25,5,92,-1.46489130434783,-4.71413043478261
"Back",25,6,78,-0.535769230769231,-5.35269230769231
"Back",25,7,62,0.729032258064516,-3.80322580645161
"Back",25,8,50,-2.3688,-5.231
"Back",25,9,43,-0.417674418604651,-5.06860465116279
"Back",25,10,34,0.447058823529412,-4.78441176470588
"Back",25,11,26,-1.54846153846154,-6.29423076923077
"Back",25,12,24,-0.698333333333333,-7.28666666666667
"Back",25,13,19,-0.292631578947369,-8.08894736842105
"Back",25,14,12,-0.385833333333333,-9.13916666666667
"Back",25,15,11,-0.100909090909091,-9.25
"Back",25,16,9,-0.342222222222222,-9.34666666666667
"Back",25,17,6,0.015,-11.5433333333333
"Back",25,18,3,-0.420000000000001,-14.2833333333333
"Back",25,19,1,0.0599999999999987,-6.7
"Back",25,20,1,0.469999999999999,-6.23
"Back",50,2,5,-5.082,-5.082
"Breaststroke",25,2,155,-2.616,-2.616
"Breaststroke",25,3,133,-1.2681954887218,-3.79421052631579
"Breaststroke",25,4,105,-1.48380952380952,-4.82066666666667
"Breaststroke",25,5,90,-1.12777777777778,-5.55811111111111
"Breaststroke",25,6,78,-0.706538461538461,-6.20820512820513
"Breaststroke",25,7,66,-0.801363636363636,-6.73045454545455
"Breaststroke",25,8,58,-0.618965517241379,-7.56103448275862
"Breaststroke",25,9,48,-0.210833333333333,-7.57479166666667
"Breaststroke",25,10,41,-1.0019512195122,-8.52487804878049
"Breaststroke",25,11,32,-0.1934375,-7.2425
"Breaststroke",25,12,28,-0.308571428571429,-7.63392857142857
"Breaststroke",25,13,26,-0.416923076923077,-8.09230769230769
"Breaststroke",25,14,23,-0.256086956521739,-7.74391304347826
"Breaststroke",25,15,17,-0.306470588235294,-8.25176470588235
"Breaststroke",25,16,13,-0.0823076923076923,-8.34153846153846
"Breaststroke",25,17,13,-0.401538461538462,-8.74307692307692
"Breaststroke",25,18,10,-0.808,-6.865
"Breaststroke",25,19,8,0.8425,-6.02875
"Breaststroke",25,20,6,-0.566666666666666,-7.17333333333333
"Breaststroke",25,21,4,0.00499999999999989,-7.74
"Breaststroke",25,22,2,-0.415000000000001,-11.14
"Breaststroke",25,23,2,0.140000000000001,-11
"Breaststroke",25,24,1,-1.7,-6.26
"Breaststroke",50,2,4,-2.8175,-2.8175
"Butterfly",25,2,123,-2.46691056910569,-2.46691056910569
"Butterfly",25,3,101,-1.59465346534653,-3.88326732673267
"Butterfly",25,4,86,-1.24441860465116,-4.84162790697674
"Butterfly",25,5,76,-0.74828947368421,-5.71105263157895
"Butterfly",25,6,66,-0.876515151515152,-5.99
"Butterfly",25,7,57,-0.568771929824562,-6.46473684210526
"Butterfly",25,8,47,-0.761489361702128,-6.76978723404255
"Butterfly",25,9,44,0.244090909090909,-6.54840909090909
"Butterfly",25,10,38,-1.16157894736842,-6.84578947368421
"Butterfly",25,11,31,0.262258064516129,-6.17258064516129
"Butterfly",25,12,30,-0.898,-7.03633333333333
"Butterfly",25,13,25,-0.5028,-6.8284
"Butterfly",25,14,19,-0.14,-6.74947368421053
"Butterfly",25,15,14,0.277857142857143,-6.91285714285714
"Butterfly",25,16,11,-0.541818181818182,-6.73272727272727
"Butterfly",25,17,8,-0.16125,-7.37875
"Butterfly",25,18,5,-0.656,-8.222
"Butterfly",25,19,5,-0.068,-8.29
"Butterfly",25,20,2,0.125,-9.625
"Butterfly",50,2,2,1.55,1.55
"Butterfly",50,3,1,-3.1,0
"Freestyle",25,2,153,-1.69633986928105,-1.69633986928105
"Freestyle",25,3,117,-0.784786324786325,-2.80897435897436
"Freestyle",25,4,85,-0.712235294117647,-3.27411764705882
"Freestyle",25,5,69,-0.327971014492753,-4.10971014492754
"Freestyle",25,6,57,-1.00350877192982,-5.25105263157895
"Freestyle",25,7,37,-1.75594594594595,-6.34783783783784
"Freestyle",25,8,23,-2.87478260869565,-8.63217391304348
"Freestyle",25,9,9,0.268888888888889,-8.88555555555556
"Freestyle",25,10,8,-1.61875,-8.9525
"Freestyle",25,11,5,5.084,-0.390000000000001
"Freestyle",25,12,2,-15.91,-6.415
"Freestyle",25,13,1,0.779999999999998,-7.33
"Freestyle",25,14,1,-0.349999999999998,-7.68
"Freestyle",50,2,102,-2.21578431372549,-2.21578431372549
"Freestyle",50,3,81,-1.48345679012346,-3.48691358024691
"Freestyle",50,4,65,-0.780307692307693,-3.77569230769231
"Freestyle",50,5,52,-0.723653846153845,-3.45865384615385
"Freestyle",50,6,39,-0.771794871794873,-3.93358974358974
"Freestyle",50,7,29,-0.274482758620689,-4.28586206896552
"Freestyle",50,8,20,-0.403999999999999,-4.3845
"Freestyle",50,9,15,-0.407333333333333,-4.40533333333333
"Freestyle",50,10,9,0.0900000000000002,-5.42111111111111
"Freestyle",50,11,4,0.242500000000001,-6.5225
"Freestyle",50,12,3,0.116666666666665,-4.32666666666667
"Freestyle",50,13,1,-0.649999999999999,-8.75
"IM",100,2,12,-6.285,-6.285
"IM",100,3,8,-2.77875,-9.74875
"IM",100,4,5,0.638,-8.154
"IM",100,5,3,-5.65666666666667,-13.8
"IM",100,6,2,3.965,-7.11
"IM",100,7,1,-3.84,-11.03
"IM",100,8,1,-6.78,-17.81
